garment_type,order_quantity,num_stitch_operations,target_sewing_time_mins
T-Shirt,2031,8,1214.82
Kurti,4043,13,6273.42
Kurti,4137,15,6401.18
Dress,1623,15,3476.82
Jeans,4676,18,9065.98
Blazer,2596,24,13163.05
Hoodie,1789,19,5850.42
Dress,343,15,786.89
T-Shirt,4237,6,2550.94
Dress,3238,20,7832.3
Blazer,4594,26,22094.95
Jeans,4461,12,8405.88
Dress,4359,20,10997.96
Jeans,3046,14,5746.52
Blazer,2629,29,14427.64
Jeans,3136,15,6546.12
Shirt,2810,10,2596.41
Blazer,4837,23,22539.35
Jacket,556,26,2384.7
T-Shirt,1738,8,1062.26
Hoodie,1503,19,4293.88
Shirt,1608,11,1552.29
Trouser,2239,15,3748.01
Hoodie,4581,21,14280.51
Dress,4937,20,12615.84
Kurti,3184,14,5669.8
Kurti,2485,14,4485.29
Kurti,2455,16,3916.32
Jeans,645,15,1225.97
Jeans,3593,13,7193.86
T-Shirt,4300,8,2671.38
T-Shirt,341,6,147.9
Jacket,888,30,4230.06
T-Shirt,178,5,50.0
Jacket,2248,27,9440.85
Trouser,507,12,667.16
Kurti,247,14,408.84
Jeans,4594,14,9104.61
Trouser,3662,11,4966.13
Uniform,1673,18,3357.8
T-Shirt,1346,8,780.06
Shirt,1062,8,982.37
Jeans,1713,12,3260.38
Shirt,2296,11,2149.2
Jacket,869,25,3900.79
Shirt,622,9,593.06
Jacket,2330,28,10573.48
Blazer,3797,27,19481.48
Jeans,3343,14,6875.04
Hoodie,138,16,408.78
Shirt,2296,12,2111.76
Dress,761,16,1731.74
Shirt,4965,12,5071.93
Dress,3854,18,9603.88
Jacket,614,25,2821.53
Blazer,3400,29,18668.88
Jacket,1384,22,6560.7
Uniform,3662,12,7319.94
Hoodie,1022,17,2934.05
Dress,2381,15,5994.01
T-Shirt,1137,5,639.15
Trouser,3995,12,6501.47
Jeans,1504,15,3069.8
Kurti,2123,16,3309.08
Dress,4383,14,9900.98
Trouser,4531,11,6707.28
Jeans,4059,17,8184.9
Trouser,3988,15,5831.42
Jacket,1232,29,6084.89
Jeans,4378,12,8079.95
Shirt,930,11,846.8
Blazer,1119,27,6224.33
T-Shirt,4393,8,2562.34
Hoodie,4797,20,13814.1
Uniform,2197,14,4077.31
Trouser,4086,11,6350.85
Uniform,4776,16,9928.29
Kurti,2503,15,4317.06
Hoodie,3078,16,9425.52
Blazer,1719,29,9442.57
Kurti,1531,13,2305.96
Uniform,3571,17,7526.55
Blazer,304,27,1480.34
Jeans,2397,14,4269.76
Jeans,789,12,1542.81
Jacket,1271,27,5935.57
Hoodie,1549,17,4518.82
Uniform,3752,14,8002.54
Kurti,2452,12,3783.18
Blazer,697,28,3888.83
Jacket,672,21,2850.9
T-Shirt,4724,6,2430.43
Dress,2757,14,6273.59
Blazer,3237,23,17712.08
Trouser,4832,15,7213.15
Uniform,710,14,1544.04
Hoodie,2424,19,7449.14
Jacket,2891,24,13270.11
Jeans,881,14,1890.1
T-Shirt,4642,6,2384.86
Trouser,2091,13,3156.86
Jeans,1914,12,3486.81
Trouser,4502,12,6247.16
Blazer,2311,26,12631.46
Hoodie,4754,22,16274.41
Jeans,3625,15,6600.14
Trouser,3024,12,4857.98
T-Shirt,712,8,387.21
Kurti,2407,15,4162.36
T-Shirt,674,5,448.96
Kurti,769,14,1208.46
Kurti,1660,12,2701.49
Blazer,2039,23,9823.26
Blazer,1495,27,8121.54
Trouser,3090,13,4631.28
Trouser,687,13,976.83
Kurti,3931,11,5719.64
Blazer,4533,30,25045.04
Dress,1774,19,4801.75
Shirt,1189,10,1193.71
Hoodie,2601,16,7781.16
Uniform,4728,14,10174.74
Kurti,3473,13,6197.98
Trouser,1887,14,3144.31
Trouser,3908,15,6275.66
Jacket,2697,23,11537.66
Trouser,4017,12,5878.05
Blazer,4278,24,23617.7
Trouser,2431,13,4059.96
Hoodie,4828,19,15115.54
Jeans,4593,17,8527.16
Blazer,2467,22,12349.46
Blazer,1862,30,10038.45
Blazer,3298,28,18171.18
T-Shirt,2579,6,1449.36
Kurti,760,14,1181.46
Kurti,2086,13,3182.98
Jacket,2627,20,10000.57
Hoodie,1547,19,5048.84
Trouser,2173,13,3245.07
Jacket,1673,23,7793.04
Jeans,678,17,1331.37
Jacket,1285,30,6537.22
Dress,2361,14,4902.16
Dress,829,16,1821.29
Jacket,241,22,968.15
Jeans,4896,17,10523.42
Hoodie,440,20,1397.99
Uniform,2529,12,4920.59
Jacket,1912,22,8864.8
Hoodie,3212,22,10150.51
T-Shirt,3339,8,2006.06
Jacket,4651,24,19615.73
Uniform,1087,13,2319.3
Blazer,273,28,1544.13
Jeans,1089,12,2025.08
Shirt,1874,11,1841.01
Trouser,2802,10,4417.08
Blazer,301,23,1659.15
Trouser,3289,10,4919.2
Trouser,3255,15,4658.14
T-Shirt,4108,6,2318.69
T-Shirt,2098,6,1254.15
Blazer,1531,30,7850.34
Kurti,1230,11,1915.72
Dress,3805,19,9326.19
Shirt,1923,10,1872.54
Hoodie,459,18,1409.62
Uniform,1241,15,2567.94
Kurti,106,13,250.43
T-Shirt,3364,7,1786.45
Trouser,3154,12,4603.49
T-Shirt,3028,6,1850.07
Jacket,3375,25,15051.12
Jeans,2000,13,3769.27
Jeans,1278,17,2313.53
Uniform,3734,13,7245.3
Uniform,2269,16,4632.55
Kurti,3258,15,5573.19
Dress,4263,18,9669.38
T-Shirt,2032,6,1082.13
Trouser,1477,14,2115.39
T-Shirt,440,6,274.19
Jeans,1622,12,3050.21
Jacket,1234,21,5253.92
Blazer,3835,24,18705.58
Kurti,2667,13,4692.29
Kurti,366,15,630.81
Dress,3832,19,10079.82
Jeans,2060,17,3744.78
Dress,982,16,2345.77
Dress,4890,15,11412.56
T-Shirt,2554,7,1479.92
T-Shirt,3902,6,2180.64
Jeans,1002,16,1943.93
Dress,2590,18,6329.72
Hoodie,2867,17,8446.5
Dress,3053,15,7361.83
Kurti,2099,13,3620.67
Blazer,3334,24,16215.64
Uniform,4308,18,8437.42
Kurti,3058,14,4574.73
Jacket,2335,28,11519.96
Jacket,3706,28,18150.25
Jeans,513,18,931.91
Shirt,2192,12,1991.68
Dress,2522,15,6243.72
Shirt,1597,12,1639.57
Shirt,2442,10,2481.96
Dress,2880,20,7244.42
T-Shirt,536,5,341.72
Dress,2484,20,6224.28
Uniform,1689,15,3533.74
Jeans,152,18,367.36
Jeans,1328,14,2689.41
Shirt,4549,10,4114.44
T-Shirt,1364,6,827.89
T-Shirt,3514,8,2224.32
Blazer,2537,26,14680.69
Blazer,4623,25,25677.76
Trouser,2288,12,3695.39
Kurti,2548,11,3668.1
T-Shirt,3999,7,2411.1
Kurti,4088,12,6821.46
T-Shirt,3707,8,2002.71
Blazer,4728,25,26225.82
Kurti,2957,10,4483.82
Blazer,1478,23,7773.67
Trouser,991,10,1272.49
Shirt,4844,8,4867.82
Dress,2105,14,5157.46
Jeans,1039,16,2127.25
Dress,1561,14,3850.87
Blazer,2196,27,12461.68
Kurti,2200,11,3104.77
Dress,4593,15,9706.39
Trouser,2258,15,3541.95
Blazer,839,27,4759.9
Hoodie,3327,22,9926.39
Blazer,1797,26,9115.91
Kurti,4860,10,7962.9
Kurti,4679,14,8487.46
Trouser,4652,12,7332.14
Dress,743,16,1863.23
Shirt,3376,11,3278.34
Dress,332,14,729.84
Hoodie,2509,16,7476.32
Kurti,3531,13,5696.8
T-Shirt,1172,7,715.93
Blazer,4881,23,25835.11
Shirt,2152,11,2122.68
Shirt,2569,10,2590.35
Uniform,2600,17,5317.81
Uniform,2449,16,5170.64
Trouser,1216,13,1959.66
Shirt,1646,11,1669.7
Blazer,4775,24,24742.17
Blazer,456,30,2764.41
Hoodie,969,21,2707.66
T-Shirt,4814,7,2795.27
Shirt,1029,12,1071.21
T-Shirt,4382,8,2606.08
Dress,185,17,365.17
Jacket,2469,26,11792.11
Dress,2760,16,6003.23
Uniform,2887,12,5323.81
Hoodie,766,17,2440.62
Kurti,1729,12,2492.5
Hoodie,3774,17,10787.29
Jeans,792,14,1518.69
T-Shirt,2261,5,1121.06
Blazer,2013,22,9487.49
Shirt,1872,8,1847.52
Trouser,760,12,1151.1
Trouser,2550,14,3796.01
Jeans,2938,13,6012.35
Shirt,2775,12,2786.45
Hoodie,3071,21,8740.17
Jeans,370,14,749.35
Jacket,3707,27,17645.0
Trouser,389,10,551.03
Kurti,4876,10,7764.12
Dress,1480,14,3710.61
Jeans,483,14,813.55
Jeans,4159,15,7699.37
Kurti,3514,11,5378.16
Kurti,1235,12,1889.06
Dress,3911,20,9280.04
Dress,4408,19,11130.01
Uniform,3373,14,6595.64
Blazer,1076,27,5479.78
Blazer,3064,26,15028.43
T-Shirt,1852,7,1060.5
Dress,3172,20,8334.4
Hoodie,608,21,1829.31
Jeans,1431,16,3021.63
T-Shirt,1199,8,703.89
Trouser,1597,13,2572.94
Jeans,468,14,956.95
T-Shirt,1393,6,760.66
Jeans,3486,16,7355.08
Trouser,2340,14,3752.77
Dress,1099,18,2951.3
Blazer,3831,25,20606.6
Shirt,3193,10,3060.05
Hoodie,4646,17,14594.01
Trouser,3350,11,4644.97
Kurti,2478,14,3989.45
T-Shirt,3049,5,1661.59
Jacket,3204,21,13493.95
Trouser,4921,14,6896.71
T-Shirt,3865,7,2223.83
Hoodie,3574,21,11390.12
Uniform,2469,17,5336.11
Blazer,2088,23,11050.8
Hoodie,2534,17,7467.43
Trouser,307,11,436.56
Hoodie,3466,18,9492.09
Dress,2700,19,6942.86
Shirt,2949,10,2756.54
Uniform,4268,12,8782.43
Shirt,4608,11,4974.95
Uniform,4857,14,10720.8
Shirt,2561,8,2123.15
T-Shirt,3028,5,1683.21
T-Shirt,3591,5,2060.57
Uniform,275,17,541.95
Trouser,1879,12,2558.27
Blazer,4562,25,23688.77
Blazer,1164,23,6244.12
Jacket,2186,20,9763.58
Kurti,2446,11,3532.67
Shirt,3110,9,2941.29
Hoodie,1773,17,5583.98
Trouser,2466,14,4014.93
Hoodie,2011,18,5968.07
Trouser,593,11,873.49
Hoodie,4127,19,13552.6
Kurti,4844,11,8188.4
Dress,2141,17,5177.75
Kurti,1458,13,2394.67
Uniform,4451,18,8825.67
Dress,2235,17,5107.55
Dress,220,14,519.67
Kurti,1024,14,1825.85
Trouser,902,13,1322.72
Jeans,2287,15,4360.4
Uniform,4027,12,8524.47
Hoodie,4035,20,11999.73
Hoodie,2995,16,8315.37
Blazer,1129,24,6242.13
Kurti,186,10,216.45
Trouser,3042,15,4482.2
Jeans,4690,18,9400.93
Hoodie,3787,20,12177.6
Dress,4953,14,11110.81
Uniform,598,17,1218.62
Shirt,1836,9,1825.55
Hoodie,2394,22,7396.8
Jacket,2510,28,11527.97
T-Shirt,118,7,50.0
Shirt,4336,8,4145.61
T-Shirt,4440,8,2808.92
T-Shirt,4266,5,2294.21
T-Shirt,916,7,512.32
Kurti,2563,11,3841.38
Blazer,3993,30,22531.43
Blazer,2646,24,13129.98
Hoodie,817,20,2333.04
Blazer,1355,23,7478.52
Shirt,3907,11,3590.41
Jeans,2972,12,5070.97
Shirt,2704,11,2845.23
Trouser,102,15,185.01
Jacket,2721,23,11859.65
Shirt,1185,8,1110.05
Shirt,3675,8,3508.72
Hoodie,1603,17,4903.68
Trouser,143,14,177.72
Dress,3072,15,7814.61
Hoodie,1090,18,3233.58
Kurti,1593,15,2519.57
Uniform,3616,16,8003.07
Blazer,1054,23,5252.17
Uniform,2447,14,4705.33
Trouser,957,11,1515.14
T-Shirt,483,6,283.84
T-Shirt,4351,5,2484.62
Jeans,3050,17,5613.29
Hoodie,3034,21,10037.56
Uniform,4040,15,8168.14
Dress,1193,18,3139.95
Trouser,1640,13,2213.98
Jacket,465,30,2273.28
Hoodie,4299,20,14088.61
Dress,3939,19,9011.11
Jeans,1775,14,3721.6
Trouser,4560,12,6465.73
T-Shirt,2950,8,1836.17
Kurti,2950,15,4534.27
Jacket,213,20,973.67
Kurti,3296,11,5173.67
Jeans,1696,16,3583.57
Blazer,2358,28,13962.46
Shirt,2687,12,2660.93
Shirt,2317,11,2419.63
Shirt,3326,9,2900.95
Hoodie,1548,18,4833.8
Blazer,2605,27,13112.44
Jacket,4601,25,21085.19
T-Shirt,4288,6,2289.29
Jacket,1241,23,5962.27
Trouser,3355,11,4822.58
Dress,3975,19,10003.65
Jacket,3023,27,14217.66
Uniform,4835,15,10828.4
Hoodie,1075,20,3595.94
Hoodie,3427,22,10087.72
Trouser,2359,14,3920.05
Jacket,1330,24,5390.61
Jeans,3956,13,8125.58
Shirt,1194,11,1065.6
Jeans,4245,17,9284.02
Jeans,4070,16,8453.38
Jacket,683,27,2833.07
Jacket,961,27,4096.47
Hoodie,3711,16,10486.94
Kurti,4681,11,7477.26
Jacket,3283,26,13663.19
Blazer,2253,26,11779.03
Blazer,2937,30,16725.45
Uniform,1394,18,3076.86
Hoodie,2996,16,9467.24
Blazer,546,27,3131.46
Hoodie,326,17,867.21
Jacket,2032,20,9127.65
Dress,1981,19,5072.13
Blazer,2992,27,14893.33
Jacket,319,24,1335.42
Shirt,819,12,808.72
Hoodie,171,21,532.6
Trouser,798,13,1204.88
Kurti,407,10,578.69
Jeans,3658,18,7058.92
Uniform,375,15,814.79
T-Shirt,3229,8,1994.9
Hoodie,3857,18,10933.69
T-Shirt,255,5,172.63
Hoodie,3173,21,9757.86
Shirt,2928,10,2588.57
Kurti,1747,16,3106.79
Jeans,2861,15,5546.56
Hoodie,2531,19,7320.34
T-Shirt,3408,6,2087.67
Jacket,171,30,803.84
Trouser,4334,12,6629.8
T-Shirt,2563,6,1508.49
Dress,4537,15,10233.66
Trouser,1356,10,1843.08
Trouser,1573,12,2402.88
T-Shirt,1129,7,630.13
Kurti,3897,11,6646.31
Jeans,2205,16,3968.03
Hoodie,2847,21,9449.0
Trouser,4991,10,6596.83
Jacket,4667,21,21592.67
Blazer,4562,29,25710.82
Uniform,3067,17,5907.38
Blazer,1405,25,7776.72
Kurti,2077,12,3055.55
Trouser,4655,10,6871.2
Shirt,4335,11,4026.86
Hoodie,228,21,652.33
Blazer,727,27,3630.83
T-Shirt,2441,5,1364.03
Blazer,1083,30,5882.78
Dress,2772,16,6406.29
Shirt,4856,11,5130.58
Jacket,1786,22,7597.9
Jacket,4398,24,17962.75
Kurti,410,14,634.68
T-Shirt,459,8,252.06
Hoodie,1725,20,5395.25
Dress,831,15,2054.05
Hoodie,3906,17,11343.6
Jeans,1711,12,3151.3
Jacket,1736,20,6874.84
Kurti,1332,15,2271.74
Jacket,3858,20,15601.2
Dress,4358,19,10053.28
Jacket,3616,25,17102.84
Jacket,2822,25,13181.04
Uniform,506,12,1019.05
Dress,809,16,1994.56
Shirt,1511,8,1509.07
Hoodie,4214,22,14537.19
Trouser,2566,12,3625.44
Jacket,4340,26,18827.06
T-Shirt,2502,8,1593.72
Kurti,4658,16,7712.88
Jacket,286,23,1187.0
Jacket,3954,30,18086.74
Hoodie,1680,17,5376.28
Trouser,2945,11,4194.69
Shirt,2880,11,2788.41
Dress,2075,15,4622.83
Jeans,3264,18,6612.16
Uniform,707,12,1336.52
Jeans,1129,14,2209.58
Jeans,1575,12,3088.22
Kurti,2563,15,4576.9
Dress,2906,16,6836.49
Uniform,2223,18,4745.13
Blazer,1914,24,10663.4
Kurti,3031,16,5105.22
Blazer,1709,30,9924.7
Hoodie,2060,16,6141.75
Trouser,1720,14,2889.1
Hoodie,3892,21,13050.3
Dress,3166,16,7424.25
Trouser,1653,12,2222.32
Uniform,175,15,357.48
Hoodie,2430,22,7339.17
Jacket,2159,30,11020.1
T-Shirt,4571,8,2759.86
Kurti,1025,16,1638.98
Uniform,1194,16,2732.79
Jeans,4113,15,7504.64
Uniform,3192,16,7087.12
Dress,1287,15,2951.35
Shirt,1049,11,1073.57
Dress,2681,17,6960.96
Jeans,3506,12,6024.46
Kurti,1015,16,1827.94
Kurti,377,11,549.68
Jeans,1270,13,2452.76
Trouser,2588,14,4257.82
Shirt,4382,11,4176.24
Shirt,2463,8,2282.36
Jacket,2276,30,11048.68
Jeans,3498,13,6636.55
T-Shirt,4754,8,2862.36
Hoodie,1231,18,3394.03
Uniform,2942,12,6382.01
T-Shirt,4851,6,2707.8
Blazer,4973,29,26515.94
Jacket,1484,25,6334.5
Blazer,4531,23,21697.34
Blazer,4783,30,27455.27
Hoodie,4255,17,12370.75
Jeans,3579,17,6906.76
Kurti,2272,16,3901.28
Uniform,2769,17,6348.13
Uniform,4527,17,9003.62
Jeans,1808,15,3637.78
Jeans,4343,13,8367.79
Hoodie,579,20,1721.56
Jacket,3914,25,18229.23
T-Shirt,3313,5,1742.03
Jeans,715,14,1326.17
T-Shirt,1368,7,717.55
Hoodie,4995,20,16798.04
Trouser,425,10,581.6
T-Shirt,4803,7,2877.87
Dress,1467,16,3546.12
Uniform,228,12,461.5
Jeans,4203,16,8686.36
Kurti,1744,13,2978.54
Jeans,342,17,758.97
Blazer,1599,25,8376.27
Dress,2358,17,5691.37
Hoodie,398,20,1241.85
Jeans,4406,18,9820.45
